=== Top query — sc-domain:atlantistours.pt  2026-04-17 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
1-1.5 hours                                                                                                                                                                                                   0       1            0.0%    10.0    
4 tours                                                                                                                                                                                                       0       1            0.0%    3.0     
aatlantis                                                                                                                                                                                                     0       1            0.0%    10.0    
accessible benagil tours                                                                                                                                                                                      0       34           0.0%    26.0    
actividades en portimao                                                                                                                                                                                       0       6            0.0%    8.0     
activités algarve portugal                                                                                                                                                                                    0       1            0.0%    3.0     
activités autour de moi                                                                                                                                                                                       0       2            0.0%    4.5     
agence de voyage algarve                                                                                                                                                                                      0       1            0.0%    3.0     
agencia viagens portimao                                                                                                                                                                                      0       2            0.0%    4.0     
agência de viagens                                                                                                                                                                                            0       1            0.0%    1.0     
agência de viagens portimão                                                                                                                                                                                   0       2            0.0%    3.5     
alantis                                                                                                                                                                                                       0       1            0.0%    2.0     
albufeira                                                                                                                                                                                                     0       1            0.0%    6.0     
albufeira dolphin watching                                                                                                                                                                                    0       1            0.0%    5.0     
albufeira old town photos                                                                                                                                                                                     0       1            0.0%    1.0     
algar de benagil                                                                                                                                                                                              0       4            0.0%    6.2     
algar de benagil skylight                                                                                                                                                                                     0       1            0.0%    4.0     
algarve benagil caves                                                                                                                                                                                         0       1            0.0%    49.0    
algarve boat                                                                                                                                                                                                  0       5            0.0%    47.0    
algarve boat rental                                                                                                                                                                                           0       1            0.0%    2.0     
algarve boat tour                                                                                                                                                                                             0       8            0.0%    42.6    
algarve boat tours                                                                                                                                                                                            0       8            0.0%    46.9    
algarve boat trip                                                                                                                                                                                             0       6            0.0%    47.7    
algarve boat trips                                                                                                                                                                                            0       24           0.0%    43.3    
algarve bootstour                                                                                                                                                                                             0       8            0.0%    32.6    
algarve cave                                                                                                                                                                                                  0       1            0.0%    7.0     
algarve cave boat tour                                                                                                                                                                                        0       1            0.0%    40.0    
algarve cave captain                                                                                                                                                                                          0       5            0.0%    41.6    
algarve cave tours                                                                                                                                                                                            0       1            0.0%    56.0    
algarve charter                                                                                                                                                                                               0       2            0.0%    61.0    
algarve charters                                                                                                                                                                                              0       5            0.0%    53.6    
algarve coast                                                                                                                                                                                                 0       1            0.0%    13.0    
algarve cruise                                                                                                                                                                                                0       1            0.0%    26.0    
algarve cruises                                                                                                                                                                                               0       4            0.0%    27.2    
algarve delfines                                                                                                                                                                                              0       4            0.0%    18.8    
algarve discovery                                                                                                                                                                                             0       2            0.0%    70.5    
algarve dolphin watching                                                                                                                                                                                      0       1            0.0%    8.0     
algarve em abril                                                                                                                                                                                              0       2            0.0%    4.0     
algarve en avril                                                                                                                                                                                              0       22           0.0%    9.2     
algarve en juin                                                                                                                                                                                               0       1            0.0%    8.0     
algarve en junio                                                                                                                                                                                              0       1            0.0%    8.0     
algarve en mai                                                                                                                                                                                                0       1            0.0%    11.0    
algarve excursiones                                                                                                                                                                                           0       3            0.0%    15.0    
algarve fishing                                                                                                                                                                                               0       2            0.0%    40.5    
algarve fishing boats                                                                                                                                                                                         0       1            0.0%    12.0    
algarve getyourguide                                                                                                                                                                                          0       1            0.0%    13.0    
algarve juin                                                                                                                                                                                                  0       1            0.0%    12.0    
algarve pesca                                                                                                                                                                                                 0       2            0.0%    38.0    
algarve portugal boat trips                                                                                                                                                                                   0       10           0.0%    46.6    
algarve portugal honeymoon                                                                                                                                                                                    0       1            0.0%    11.0    
algarve portugal tours                                                                                                                                                                                        0       2            0.0%    10.0    
algarve primavera                                                                                                                                                                                             0       1            0.0%    1.0     
algarve private boat tour                                                                                                                                                                                     0       1            0.0%    33.0    
algarve private tours                                                                                                                                                                                         0       12           0.0%    39.2    
algarve seafaris                                                                                                                                                                                              0       1            0.0%    56.0    
algarve spring                                                                                                                                                                                                0       2            0.0%    6.0     
algarve sunset cruise                                                                                                                                                                                         0       10           0.0%    7.6     
algarve tour                                                                                                                                                                                                  0       6            0.0%    10.5    
algarve tour from lisbon                                                                                                                                                                                      0       1            0.0%    13.0    
algarve tour operator                                                                                                                                                                                         0       4            0.0%    13.2    
algarve touren                                                                                                                                                                                                0       4            0.0%    15.5    
algarve tours                                                                                                                                                                                                 0       219          0.0%    41.4    
algarve weather in october                                                                                                                                                                                    0       1            0.0%    3.0     
algarve whale watching                                                                                                                                                                                        0       1            0.0%    2.0     
algarvecon                                                                                                                                                                                                    0       1            0.0%    32.0    
algrave                                                                                                                                                                                                       0       1            0.0%    8.0     
almancil                                                                                                                                                                                                      0       1            0.0%    1.0     
alquiler barco portimao                                                                                                                                                                                       0       8            0.0%    10.2    
alvor boat trips                                                                                                                                                                                              0       6            0.0%    36.8    
alvor caves                                                                                                                                                                                                   0       7            0.0%    10.4    
alvor excursion dans les grottes marines de benagil seafaris                                                                                                                                                  0       1            0.0%    31.0    
arade                                                                                                                                                                                                         0       5            0.0%    17.8    
arade river                                                                                                                                                                                                   0       1            0.0%    13.0    
arctic seagull benagil trips                                                                                                                                                                                  0       13           0.0%    18.0    
are you more likely to see dolphins in the morning or afternoon                                                                                                                                               0       1            0.0%    3.0     
atalntis                                                                                                                                                                                                      0       1            0.0%    31.0    
atantlis                                                                                                                                                                                                      0       1            0.0%    6.0     
ate excursiones                                                                                                                                                                                               0       1            0.0%    22.0    
atlantic boat tour                                                                                                                                                                                            0       2            0.0%    4.0     
atlantis                                                                                                                                                                                                      0       88           0.0%    9.5     
atlantis atlantis                                                                                                                                                                                             0       1            0.0%    22.0    
atlantis boat                                                                                                                                                                                                 0       7            0.0%    80.6    
atlantis boats                                                                                                                                                                                                0       1            0.0%    87.0    
atlantis cancellation policy                                                                                                                                                                                  0       1            0.0%    12.0    
atlantis charters                                                                                                                                                                                             0       1            0.0%    89.0    
atlantis cruise                                                                                                                                                                                               0       4            0.0%    22.0    
atlantis cruises                                                                                                                                                                                              0       4            0.0%    6.2     
atlantis devolução                                                                                                                                                                                            0       1            0.0%    9.0     
atlantis empresa                                                                                                                                                                                              0       1            0.0%    2.0     
atlantis excursions                                                                                                                                                                                           0       3            0.0%    8.0     
atlantis ferry                                                                                                                                                                                                0       1            0.0%    6.0     
atlantis fishing                                                                                                                                                                                              0       2            0.0%    18.5    
atlantis horario                                                                                                                                                                                              0       2            0.0%    11.5    
atlantis lagos                                                                                                                                                                                                0       1            0.0%    4.0     
atlantis location                                                                                                                                                                                             0       1            0.0%    16.0    
atlantis near me                                                                                                                                                                                              0       1            0.0%    21.0    
atlantis ouverture                                                                                                                                                                                            0       1            0.0%    17.0    
atlantis portugal                                                                                                                                                                                             0       36           0.0%    8.9     
atlantis reviews                                                                                                                                                                                              0       1            0.0%    21.0    
atlantis seguro hogar                                                                                                                                                                                         0       1            0.0%    7.0     
atlantis spa                                                                                                                                                                                                  0       1            0.0%    22.0    
atlantis telefono                                                                                                                                                                                             0       1            0.0%    12.0    
atlantis travel                                                                                                                                                                                               0       4            0.0%    5.0     
atlantis travel agency                                                                                                                                                                                        0       3            0.0%    4.7     
atlantis tur                                                                                                                                                                                                  0       1            0.0%    3.0     
atlantis viagens                                                                                                                                                                                              0       1            0.0%    2.0     
atlantis viagens e turismo                                                                                                                                                                                    0       1            0.0%    1.0     
atlantis where is it located                                                                                                                                                                                  0       1            0.0%    22.0    
atlanttis                                                                                                                                                                                                     0       1            0.0%    4.0     
atlatis                                                                                                                                                                                                       0       1            0.0%    4.0     
atlntis                                                                                                                                                                                                       0       1            0.0%    31.0    
atoantis                                                                                                                                                                                                      0       1            0.0%    19.0    
aurora boat trips                                                                                                                                                                                             0       4            0.0%    60.8    
avis atlantis                                                                                                                                                                                                 0       1            0.0%    7.0     
avis sur grotte de benagil                                                                                                                                                                                    0       1            0.0%    3.0     
avistamiento cetaceos algarve                                                                                                                                                                                 0       42           0.0%    15.6    
avistamiento de delfines en el algarve                                                                                                                                                                        0       3            0.0%    39.3    
avistamiento delfines                                                                                                                                                                                         0       1            0.0%    6.0     
avistamiento delfines algarve                                                                                                                                                                                 0       1            0.0%    8.0     
baby excursiones                                                                                                                                                                                              0       1            0.0%    21.0    
banagil caves                                                                                                                                                                                                 0       1            0.0%    4.0     
barco atlantis                                                                                                                                                                                                0       1            0.0%    7.0     
barco benagil                                                                                                                                                                                                 0       2            0.0%    8.0     
barco grutas benagil                                                                                                                                                                                          0       2            0.0%    26.5    
barco portimao                                                                                                                                                                                                0       2            0.0%    6.0     
bateau benagil                                                                                                                                                                                                0       1            0.0%    9.0     
bateau portimao                                                                                                                                                                                               0       73           0.0%    5.5     
be travel                                                                                                                                                                                                     0       1            0.0%    2.0     
benagil barco                                                                                                                                                                                                 0       3            0.0%    5.0     
benagil bateau                                                                                                                                                                                                0       1            0.0%    8.0     
benagil boat tour from portimao                                                                                                                                                                               0       23           0.0%    13.8    
benagil boat tours                                                                                                                                                                                            0       25           0.0%    18.5    
benagil boat trip                                                                                                                                                                                             0       17           0.0%    27.7    
benagil boat trip from portimão                                                                                                                                                                               0       26           0.0%    20.1    
benagil bootstour                                                                                                                                                                                             0       1            0.0%    28.0    
benagil cabes                                                                                                                                                                                                 0       1            0.0%    12.0    
benagil cave                                                                                                                                                                                                  0       32           0.0%    4.0     
benagil cave algar de benagil                                                                                                                                                                                 0       2            0.0%    4.5     
benagil cave boat                                                                                                                                                                                             0       2            0.0%    19.0    
benagil cave boat tour                                                                                                                                                                                        0       15           0.0%    27.6    
benagil cave boat tour from portimao                                                                                                                                                                          0       12           0.0%    10.4    
benagil cave boat tours                                                                                                                                                                                       0       10           0.0%    33.5    
benagil cave boat trip                                                                                                                                                                                        0       2            0.0%    40.0    
benagil cave closed                                                                                                                                                                                           0       14           0.0%    7.8     
benagil cave cruise                                                                                                                                                                                           0       5            0.0%    9.2     
benagil cave from lagos                                                                                                                                                                                       0       1            0.0%    1.0     
benagil cave history algarve                                                                                                                                                                                  0       2            0.0%    76.5    
benagil cave how to get there                                                                                                                                                                                 0       2            0.0%    9.0     
benagil cave safety tips                                                                                                                                                                                      0       1            0.0%    78.0    
benagil cave speedboat tour                                                                                                                                                                                   0       1            0.0%    9.0     
benagil cave storytelling tour                                                                                                                                                                                0       6            0.0%    42.8    
benagil cave sunlight                                                                                                                                                                                         0       1            0.0%    5.0     
benagil cave sunset cruise                                                                                                                                                                                    0       1            0.0%    13.0    
benagil cave sunset tour                                                                                                                                                                                      0       2            0.0%    12.0    
benagil cave tour albufeira                                                                                                                                                                                   0       2            0.0%    53.0    
benagil cave tour from benagil                                                                                                                                                                                0       6            0.0%    18.8    
benagil cave tour from faro                                                                                                                                                                                   0       4            0.0%    37.2    
benagil cave tour from lagos                                                                                                                                                                                  0       1            0.0%    49.0    
benagil cave tour from portimao                                                                                                                                                                               0       76           0.0%    10.4    
benagil cave tour from portimão                                                                                                                                                                               0       12           0.0%    12.0    
benagil cave tour portugal                                                                                                                                                                                    0       1            0.0%    6.0     
benagil cave tours from portimao                                                                                                                                                                              0       6            0.0%    9.5     
benagil cave tours near me                                                                                                                                                                                    0       59           0.0%    50.1    
benagil cave trip                                                                                                                                                                                             0       5            0.0%    31.6    
benagil cave weather                                                                                                                                                                                          0       1            0.0%    9.0     
benagil cave winter                                                                                                                                                                                           0       1            0.0%    11.0    
benagil cave winter tours                                                                                                                                                                                     0       16           0.0%    58.7    
benagil caves                                                                                                                                                                                                 0       26           0.0%    6.5     
benagil caves boat tour                                                                                                                                                                                       0       7            0.0%    36.9    
benagil caves boat trip                                                                                                                                                                                       0       3            0.0%    22.0    
benagil caves from portimao                                                                                                                                                                                   0       1            0.0%    9.0     
benagil caves in algarve portugal                                                                                                                                                                             0       1            0.0%    70.0    
benagil caves portimao                                                                                                                                                                                        0       8            0.0%    10.6    
benagil caves portugal                                                                                                                                                                                        0       3            0.0%    16.0    
benagil caves portugal map                                                                                                                                                                                    0       1            0.0%    4.0     
benagil caves portugal tour                                                                                                                                                                                   0       1            0.0%    10.0    
benagil caves speed boat tour                                                                                                                                                                                 0       3            0.0%    7.3     
benagil caves sunset boat tour                                                                                                                                                                                0       4            0.0%    10.5    
benagil caves tickets                                                                                                                                                                                         0       1            0.0%    9.0     
benagil caves tour                                                                                                                                                                                            0       13           0.0%    16.5    
benagil caves tour from portimao                                                                                                                                                                              0       14           0.0%    9.1     
benagil caves tour from portimão                                                                                                                                                                              0       2            0.0%    7.0     
benagil caves tours                                                                                                                                                                                           0       3            0.0%    23.3    
benagil caves trip                                                                                                                                                                                            0       7            0.0%    30.7    
benagil como llegar                                                                                                                                                                                           0       3            0.0%    7.7     
benagil cruise                                                                                                                                                                                                0       38           0.0%    18.2    
benagil cruise from portimão                                                                                                                                                                                  0       16           0.0%    12.5    
benagil cuevas                                                                                                                                                                                                0       2            0.0%    6.0     
benagil höhle tour                                                                                                                                                                                            0       1            0.0%    66.0    
benagil playa                                                                                                                                                                                                 0       1            0.0%    10.0    
benagil portimao                                                                                                                                                                                              0       2            0.0%    9.0     
benagil pueblo                                                                                                                                                                                                0       1            0.0%    12.0    
benagil sailing cruise from portimão                                                                                                                                                                          0       17           0.0%    8.5     
benagil sailing trip                                                                                                                                                                                          0       15           0.0%    22.7    
benagil sea cave skylight algarve                                                                                                                                                                             0       1            0.0%    12.0    
benagil sea cave tour                                                                                                                                                                                         0       16           0.0%    27.4    
benagil sea cave tour portimão                                                                                                                                                                                0       16           0.0%    21.6    
benagil sup tour availability                                                                                                                                                                                 0       2            0.0%    72.5    
benagil tour                                                                                                                                                                                                  0       32           0.0%    24.8    
benagil tour portimao                                                                                                                                                                                         0       33           0.0%    14.2    
benagil tours                                                                                                                                                                                                 0       19           0.0%    17.8    
benagil tours from carvoeiro                                                                                                                                                                                  0       3            0.0%    61.7    
benagil tours from lagoa                                                                                                                                                                                      0       16           0.0%    63.5    
benagil tours from portimão                                                                                                                                                                                   0       79           0.0%    29.3    
benagil village                                                                                                                                                                                               0       5            0.0%    10.0    
benagli caves                                                                                                                                                                                                 0       1            0.0%    1.0     
bengali boat tour                                                                                                                                                                                             0       2            0.0%    11.0    
bengali cave tour                                                                                                                                                                                             0       1            0.0%    10.0    
bengali cave tours                                                                                                                                                                                            0       3            0.0%    13.0    
benigil cave                                                                                                                                                                                                  0       2            0.0%    1.0     
best access benagil cave                                                                                                                                                                                      0       1            0.0%    84.0    
best algarve tours                                                                                                                                                                                            0       2            0.0%    13.5    
best hiking tour for the seven hanging valleys trail with transport from albufeira                                                                                                                            0       1            0.0%    10.0    
best rated benagil sup tour                                                                                                                                                                                   0       1            0.0%    80.0    
best things to do for toddlers near me                                                                                                                                                                        0       1            0.0%    5.0     
best time of day to visit benagil caves                                                                                                                                                                       0       7            0.0%    6.6     
best time to see dolphins in albufeira                                                                                                                                                                        0       2            0.0%    5.5     
best tour companies                                                                                                                                                                                           0       15           0.0%    28.1    
best tour operators in portugal                                                                                                                                                                               0       1            0.0%    2.0     
best travel                                                                                                                                                                                                   0       2            0.0%    3.0     
best travel tours                                                                                                                                                                                             0       1            0.0%    30.0    
blue ocean trips                                                                                                                                                                                              0       1            0.0%    47.0    
boat party portimao                                                                                                                                                                                           0       1            0.0%    18.0    
boat ride near me                                                                                                                                                                                             0       1            0.0%    6.0     
boat rides near me                                                                                                                                                                                            0       1            0.0%    7.0     
boat tour                                                                                                                                                                                                     0       4            0.0%    24.0    
boat tour agency                                                                                                                                                                                              0       6            0.0%    9.8     
boat tour algarve                                                                                                                                                                                             0       11           0.0%    34.3    
boat tour benagil cave                                                                                                                                                                                        0       7            0.0%    29.6    
boat tour benagil caves                                                                                                                                                                                       0       2            0.0%    60.5    
boat tour near me                                                                                                                                                                                             0       6            0.0%    18.3    
boat tour to benagil cave                                                                                                                                                                                     0       6            0.0%    42.3    
boat tours                                                                                                                                                                                                    0       3            0.0%    23.7    
boat tours algarve                                                                                                                                                                                            0       14           0.0%    25.3    
boat tours algarve caves                                                                                                                                                                                      0       1            0.0%    39.0    
boat tours algarve portugal                                                                                                                                                                                   0       2            0.0%    35.5    
boat tours benagil                                                                                                                                                                                            0       10           0.0%    24.7    
boat tours benagil cave                                                                                                                                                                                       0       2            0.0%    31.0    
boat tours in algarve                                                                                                                                                                                         0       5            0.0%    58.6    
boat tours in algarve portugal                                                                                                                                                                                0       1            0.0%    63.0    
boat tours near me                                                                                                                                                                                            0       5            0.0%    13.2    
boat tours to benagil caves                                                                                                                                                                                   0       1            0.0%    91.0    
boat tout                                                                                                                                                                                                     0       1            0.0%    8.0     
boat trip                                                                                                                                                                                                     0       4            0.0%    25.5    
boat trip algarve                                                                                                                                                                                             0       5            0.0%    54.2    
boat trip benagil                                                                                                                                                                                             0       8            0.0%    36.6    
boat trip near me                                                                                                                                                                                             0       2            0.0%    9.5     
boat trip portimao                                                                                                                                                                                            0       30           0.0%    11.7    
boat trip to benagil cave                                                                                                                                                                                     0       4            0.0%    57.5    
boat trip to benagil caves                                                                                                                                                                                    0       7            0.0%    27.1    
boat trips                                                                                                                                                                                                    0       1            0.0%    26.0    
boat trips algarve                                                                                                                                                                                            0       9            0.0%    58.9    
boat trips algarve portugal                                                                                                                                                                                   0       12           0.0%    47.8    
boat trips alvor                                                                                                                                                                                              0       3            0.0%    34.7    
boat trips from portimao                                                                                                                                                                                      0       16           0.0%    11.8    
boat trips in portugal                                                                                                                                                                                        0       2            0.0%    41.5    
boat trips in the algarve                                                                                                                                                                                     0       2            0.0%    74.5    
boat trips near me                                                                                                                                                                                            0       3            0.0%    6.3     
boat trips portugal                                                                                                                                                                                           0       9            0.0%    57.9    
boat trips to benagil caves                                                                                                                                                                                   0       1            0.0%    25.0    
boats tour                                                                                                                                                                                                    0       1            0.0%    12.0    
book excursions near me                                                                                                                                                                                       0       1            0.0%    7.0     
bootsfahrt algarve                                                                                                                                                                                            0       1            0.0%    67.0    
bootstour algarve                                                                                                                                                                                             0       2            0.0%    49.0    
bootstour benagil                                                                                                                                                                                             0       3            0.0%    32.0    
boottocht portimao                                                                                                                                                                                            0       26           0.0%    8.0     
cantine portugaise                                                                                                                                                                                            0       1            0.0%    10.0    
carvoeiro                                                                                                                                                                                                     0       2            0.0%    1.0     
carvoeiro boardwalk                                                                                                                                                                                           0       1            0.0%    3.0     
catamaran portimao                                                                                                                                                                                            0       1            0.0%    75.0    
cave                                                                                                                                                                                                          0       1            0.0%    5.0     
cave atlantis                                                                                                                                                                                                 0       1            0.0%    30.0    
cave benagil                                                                                                                                                                                                  0       2            0.0%    10.5    
cave boat tour                                                                                                                                                                                                0       1            0.0%    1.0     
cave tour                                                                                                                                                                                                     0       1            0.0%    13.0    
cave tour algarve                                                                                                                                                                                             0       11           0.0%    17.4    
cave tour portugal                                                                                                                                                                                            0       1            0.0%    11.0    
cave tours                                                                                                                                                                                                    0       1            0.0%    8.0     
cave tours algarve portugal                                                                                                                                                                                   0       5            0.0%    15.6    
caves de benagil                                                                                                                                                                                              0       1            0.0%    59.0    
caves portimao                                                                                                                                                                                                0       3            0.0%    11.0    
caves tour                                                                                                                                                                                                    0       1            0.0%    12.0    
caves tour near me                                                                                                                                                                                            0       1            0.0%    5.0     
centianes boat trip                                                                                                                                                                                           0       2            0.0%    46.5    
chanonry point                                                                                                                                                                                                0       1            0.0%    4.0     
chanonry point dolphins                                                                                                                                                                                       0       1            0.0%    2.0     
coastal adventure                                                                                                                                                                                             0       1            0.0%    2.0     
coastal grill menu                                                                                                                                                                                            0       1            0.0%    12.0    
coastal tour                                                                                                                                                                                                  0       1            0.0%    4.0     
cocina costera                                                                                                                                                                                                0       1            0.0%    7.0     
como llegar a benagil                                                                                                                                                                                         0       2            0.0%    10.5    
como visitar benagil cave legalmente                                                                                                                                                                          0       11           0.0%    11.0    
costa lusitana - cozinha portuguesa                                                                                                                                                                           0       1            0.0%    13.0    
coucher de soleil algarve                                                                                                                                                                                     0       3            0.0%    17.0    
cozinha algarvia                                                                                                                                                                                              0       3            0.0%    23.0    
croisière à portimão                                                                                                                                                                                          0       1            0.0%    13.0    
crucero portimao                                                                                                                                                                                              0       7            0.0%    7.6     
cruceros atlantis                                                                                                                                                                                             0       1            0.0%    10.0    
cruise boats near me                                                                                                                                                                                          0       1            0.0%    5.0     
cruises around spain and portugal                                                                                                                                                                             0       11           0.0%    1.0     
cruises from portimao                                                                                                                                                                                         0       18           0.0%    22.6    
cruzeiro atlantis                                                                                                                                                                                             0       1            0.0%    4.0     
cual es la comida tipica de portugal                                                                                                                                                                          0       1            0.0%    1.0     
cueva benagil                                                                                                                                                                                                 0       7            0.0%    8.9     
cueva de benagil                                                                                                                                                                                              0       25           0.0%    6.9     
cueva marina de benagil                                                                                                                                                                                       0       1            0.0%    7.0     
cuevas de benagil                                                                                                                                                                                             0       1            0.0%    11.0    
cuevas de benagil como llegar                                                                                                                                                                                 0       1            0.0%    48.0    
cuevas del algarve                                                                                                                                                                                            0       1            0.0%    43.0    
cuevas portimao                                                                                                                                                                                               0       1            0.0%    4.0     
dauphin algarve                                                                                                                                                                                               0       3            0.0%    9.7     
day trip to algarve from lisbon                                                                                                                                                                               0       2            0.0%    1.0     
day trips from portimao                                                                                                                                                                                       0       20           0.0%    13.5    
day trips from portimao portugal                                                                                                                                                                              0       12           0.0%    12.8    
deep sea fishing algarve                                                                                                                                                                                      0       4            0.0%    12.8    
delfines                                                                                                                                                                                                      0       1            0.0%    7.0     
delfines albufeira                                                                                                                                                                                            0       1            0.0%    63.0    
delfines algarve                                                                                                                                                                                              0       9            0.0%    19.9    
delfines en portugal                                                                                                                                                                                          0       1            0.0%    1.0     
dolphin watching albufeira                                                                                                                                                                                    0       1            0.0%    5.0     
dolphin watching algarve                                                                                                                                                                                      0       1            0.0%    45.0    
dolphin watching algarve season                                                                                                                                                                               0       4            0.0%    6.5     
dolphin watching lagos portugal                                                                                                                                                                               0       1            0.0%    3.0     
dolphin watching portimao                                                                                                                                                                                     0       6            0.0%    10.0    
donde comer en benagil                                                                                                                                                                                        0       1            0.0%    1.0     
donde comer en portimao bueno y barato                                                                                                                                                                        0       1            0.0%    1.0     
dorade en portugais                                                                                                                                                                                           0       1            0.0%    12.0    
dream wave caves and dolphin watching duration 2 hours                                                                                                                                                        0       3            0.0%    3.0     
el excursiones de jao                                                                                                                                                                                         0       15           0.0%    19.9    
ema excursiones                                                                                                                                                                                               0       1            0.0%    1.0     
en croisiere                                                                                                                                                                                                  0       1            0.0%    4.0     
entrambi                                                                                                                                                                                                      0       1            0.0%    6.0     
espadarte à algarvia                                                                                                                                                                                          0       1            0.0%    28.0    
essens excursiones                                                                                                                                                                                            0       1            0.0%    21.0    
excurcoes                                                                                                                                                                                                     0       1            0.0%    10.0    
excursion bateau portimao                                                                                                                                                                                     0       8            0.0%    5.6     
excursion benagil                                                                                                                                                                                             0       1            0.0%    8.0     
excursion near me                                                                                                                                                                                             0       2            0.0%    5.5     
excursion portimao                                                                                                                                                                                            0       17           0.0%    2.4     
excursiones a algarve                                                                                                                                                                                         0       22           0.0%    16.5    
excursiones al algarve                                                                                                                                                                                        0       1            0.0%    22.0    
excursiones al algarve portugal                                                                                                                                                                               0       24           0.0%    17.9    
excursiones algarve                                                                                                                                                                                           0       2            0.0%    26.0    
excursiones algarve portugal                                                                                                                                                                                  0       1            0.0%    22.0    
excursiones en algarve                                                                                                                                                                                        0       2            0.0%    14.0    
excursions                                                                                                                                                                                                    0       1            0.0%    9.0     
excursions near me                                                                                                                                                                                            0       1            0.0%    2.0     
excursión cuevas benagil desde portimão                                                                                                                                                                       0       10           0.0%    14.1    
excursoes                                                                                                                                                                                                     0       1            0.0%    6.0     
excursão algarve                                                                                                                                                                                              0       19           0.0%    13.0    
excursões                                                                                                                                                                                                     0       17           0.0%    3.8     
excursões algarve                                                                                                                                                                                             0       34           0.0%    4.2     
excursões de um dia                                                                                                                                                                                           0       1            0.0%    9.0     
excursões em portugal                                                                                                                                                                                         0       2            0.0%    1.0     
fa excursiones                                                                                                                                                                                                0       2            0.0%    19.0    
faro dolphin watching                                                                                                                                                                                         0       1            0.0%    5.0     
faro plage grotte                                                                                                                                                                                             0       1            0.0%    15.0    
ferry tours near me                                                                                                                                                                                           0       1            0.0%    1.0     
first week of september                                                                                                                                                                                       0       1            0.0%    5.0     
