=== Top query — sc-domain:atlantistours.pt  2026-02-15 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
algarve luxury experience                                                                                                                                                                                     0       2            0.0%    39.0    
algarve pesca                                                                                                                                                                                                 0       2            0.0%    38.0    
algarve portugal                                                                                                                                                                                              0       2            0.0%    1.0     
algarve portugal boat trips                                                                                                                                                                                   0       18           0.0%    39.0    
algarve portugal honeymoon                                                                                                                                                                                    0       1            0.0%    11.0    
algarve portugal tours                                                                                                                                                                                        0       3            0.0%    24.0    
algarve primavera                                                                                                                                                                                             0       1            0.0%    1.0     
algarve private boat tour                                                                                                                                                                                     0       4            0.0%    23.5    
algarve private tours                                                                                                                                                                                         0       72           0.0%    15.1    
algarve sailing                                                                                                                                                                                               0       16           0.0%    61.4    
algarve sea adventures                                                                                                                                                                                        0       1            0.0%    21.0    
algarve sea caves                                                                                                                                                                                             0       1            0.0%    13.0    
algarve sea caves boat tour                                                                                                                                                                                   0       1            0.0%    11.0    
algarve sea sights                                                                                                                                                                                            0       9            0.0%    12.0    
algarve seafaris                                                                                                                                                                                              0       3            0.0%    47.0    
algarve spring                                                                                                                                                                                                0       2            0.0%    6.0     
algarve sunboat                                                                                                                                                                                               0       1            0.0%    33.0    
algarve sunset cruise                                                                                                                                                                                         0       10           0.0%    7.6     
algarve tour from lisbon                                                                                                                                                                                      0       1            0.0%    13.0    
algarve tour operator                                                                                                                                                                                         0       9            0.0%    13.2    
algarve touren                                                                                                                                                                                                0       13           0.0%    17.1    
algarve tours                                                                                                                                                                                                 0       378          0.0%    39.3    
algarve trips                                                                                                                                                                                                 0       1            0.0%    42.0    
algarve weather in october                                                                                                                                                                                    0       1            0.0%    3.0     
algarve whale watching                                                                                                                                                                                        0       1            0.0%    2.0     
algarvecon                                                                                                                                                                                                    0       1            0.0%    32.0    
algrave                                                                                                                                                                                                       0       1            0.0%    8.0     
almancil                                                                                                                                                                                                      0       1            0.0%    1.0     
alquiler barco portimao                                                                                                                                                                                       0       9            0.0%    10.4    
altantis                                                                                                                                                                                                      0       5            0.0%    30.0    
altlantis                                                                                                                                                                                                     0       1            0.0%    2.0     
alvor beach map                                                                                                                                                                                               0       1            0.0%    1.0     
alvor boat trips                                                                                                                                                                                              0       13           0.0%    38.5    
alvor caves                                                                                                                                                                                                   0       17           0.0%    10.1    
alvor excursion dans les grottes marines de benagil seafaris                                                                                                                                                  0       1            0.0%    31.0    
alvor nature reserve                                                                                                                                                                                          0       14           0.0%    10.1    
antlantis                                                                                                                                                                                                     0       2            0.0%    11.5    
aquatic tours                                                                                                                                                                                                 0       2            0.0%    39.0    
arade                                                                                                                                                                                                         0       134          0.0%    11.8    
arade dam                                                                                                                                                                                                     0       2            0.0%    65.0    
arade portugal                                                                                                                                                                                                0       1            0.0%    11.0    
arade river algarve                                                                                                                                                                                           0       1            0.0%    11.0    
arade river portimão                                                                                                                                                                                         0       1            0.0%    12.0    
arctic seagull benagil trips                                                                                                                                                                                  0       18           0.0%    28.5    
arda                                                                                                                                                                                                          0       1            0.0%    3.0     
are you more likely to see dolphins in the morning or afternoon                                                                                                                                               0       1            0.0%    3.0     
atalantis                                                                                                                                                                                                     0       1            0.0%    31.0    
atalntis                                                                                                                                                                                                      0       7            0.0%    17.0    
atantis                                                                                                                                                                                                       0       2            0.0%    20.0    
atantlis                                                                                                                                                                                                      0       1            0.0%    6.0     
ate excursiones                                                                                                                                                                                               0       1            0.0%    22.0    
atlandtis                                                                                                                                                                                                     0       1            0.0%    21.0    
atlanis                                                                                                                                                                                                       0       1            0.0%    1.0     
atlantes tours                                                                                                                                                                                                0       1            0.0%    5.0     
atlanti                                                                                                                                                                                                       0       2            0.0%    19.0    
atlantic                                                                                                                                                                                                      0       1            0.0%    6.0     
atlantic coast tours                                                                                                                                                                                          0       7            0.0%    1.6     
atlantic discovery                                                                                                                                                                                            0       4            0.0%    7.5     
atlantic travel agency                                                                                                                                                                                        0       1            0.0%    8.0     
atlantic trip                                                                                                                                                                                                 0       3            0.0%    9.3     
atlantic trips                                                                                                                                                                                                0       2            0.0%    6.5     
atlantic turs                                                                                                                                                                                                 0       3            0.0%    50.3    
atlantis adventures                                                                                                                                                                                           0       1            0.0%    15.0    
atlantis atlantis                                                                                                                                                                                             0       2            0.0%    22.0    
atlantis boat                                                                                                                                                                                                 0       12           0.0%    55.6    
atlantis boats                                                                                                                                                                                                0       1            0.0%    87.0    
atlantis cancellation policy                                                                                                                                                                                  0       1            0.0%    12.0    
atlantis cave                                                                                                                                                                                                 0       2            0.0%    10.0    
atlantis charters                                                                                                                                                                                             0       2            0.0%    51.0    
atlantis cruise                                                                                                                                                                                               0       11           0.0%    11.9    
atlantis cruise excursion                                                                                                                                                                                     0       1            0.0%    55.0    
atlantis cruises                                                                                                                                                                                              0       4            0.0%    6.2     
atlantis devolução                                                                                                                                                                                            0       1            0.0%    9.0     
atlantis donde esta                                                                                                                                                                                           0       1            0.0%    12.0    
atlantis empresa                                                                                                                                                                                              0       1            0.0%    2.0     
atlantis excursions                                                                                                                                                                                           0       6            0.0%    11.5    
atlantis experience                                                                                                                                                                                           0       2            0.0%    2.0     
atlantis ferry                                                                                                                                                                                                0       2            0.0%    5.0     
atlantis fishing                                                                                                                                                                                              0       3            0.0%    16.0    
atlantis horario                                                                                                                                                                                              0       4            0.0%    11.5    
atlantis horarios                                                                                                                                                                                             0       1            0.0%    12.0    
atlantis in portugal                                                                                                                                                                                          0       6            0.0%    14.2    
atlantis lagos                                                                                                                                                                                                0       1            0.0%    4.0     
atlantis location                                                                                                                                                                                             0       6            0.0%    3.5     
atlantis near me                                                                                                                                                                                              0       4            0.0%    42.5    
atlantis ouverture                                                                                                                                                                                            0       1            0.0%    17.0    
atlantis places                                                                                                                                                                                               0       1            0.0%    3.0     
atlantis port                                                                                                                                                                                                 0       2            0.0%    11.0    
atlantis pt                                                                                                                                                                                                   0       4            0.0%    8.5     
atlantis reisen                                                                                                                                                                                               0       2            0.0%    6.0     
atlantis resort excursions                                                                                                                                                                                    0       1            0.0%    89.0    
atlantis reviews                                                                                                                                                                                              0       2            0.0%    21.5    
atlantis route                                                                                                                                                                                                0       1            0.0%    7.0     
atlantis sailing                                                                                                                                                                                              0       2            0.0%    4.0     
atlantis seguro hogar                                                                                                                                                                                         0       1            0.0%    7.0     
atlantis spa                                                                                                                                                                                                  0       1            0.0%    22.0    
atlantis telefono                                                                                                                                                                                             0       3            0.0%    11.7    
atlantis trappes 2 rue eugene pottier                                                                                                                                                                         0       1            0.0%    8.0     
atlantis travel                                                                                                                                                                                               0       24           0.0%    4.8     
atlantis travel agency                                                                                                                                                                                        0       11           0.0%    4.1     
atlantis viagens                                                                                                                                                                                              0       1            0.0%    2.0     
atlantis viagens e turismo                                                                                                                                                                                    0       1            0.0%    1.0     
atlantis voyages                                                                                                                                                                                              0       1            0.0%    47.0    
atlantis water fun                                                                                                                                                                                            0       5            0.0%    51.8    
atlantis website                                                                                                                                                                                              0       1            0.0%    1.0     
atlantis where is it located                                                                                                                                                                                  0       1            0.0%    22.0    
atlantis yacht                                                                                                                                                                                                0       3            0.0%    7.0     
atlantis yatch                                                                                                                                                                                                0       1            0.0%    8.0     
atlantiss                                                                                                                                                                                                     0       3            0.0%    5.7     
atlanttis                                                                                                                                                                                                     0       1            0.0%    4.0     
atlatis                                                                                                                                                                                                       0       4            0.0%    8.8     
atlntis                                                                                                                                                                                                       0       2            0.0%    26.0    
atoantis                                                                                                                                                                                                      0       1            0.0%    19.0    
atrações para crianças                                                                                                                                                                                        0       1            0.0%    2.0     
aurora boat trips                                                                                                                                                                                             0       7            0.0%    65.9    
avis atlantis                                                                                                                                                                                                 0       1            0.0%    7.0     
avis sur grotte de benagil                                                                                                                                                                                    0       1            0.0%    3.0     
avistamiento cetaceos algarve                                                                                                                                                                                 0       42           0.0%    15.6    
avistamiento de delfines en el algarve                                                                                                                                                                        0       3            0.0%    39.3    
avistamiento delfines                                                                                                                                                                                         0       1            0.0%    6.0     
avistamiento delfines algarve                                                                                                                                                                                 0       1            0.0%    8.0     
aylantis                                                                                                                                                                                                      0       1            0.0%    21.0    
baby excursiones                                                                                                                                                                                              0       5            0.0%    20.8    
banagil caves                                                                                                                                                                                                 0       1            0.0%    4.0     
barco atlantis                                                                                                                                                                                                0       2            0.0%    5.5     
barco benagil                                                                                                                                                                                                 0       15           0.0%    40.4    
barco grutas benagil                                                                                                                                                                                          0       23           0.0%    35.1    
barco para benagil                                                                                                                                                                                            0       17           0.0%    50.3    
barco portimao                                                                                                                                                                                                0       2            0.0%    6.0     
barcoeste                                                                                                                                                                                                     0       1            0.0%    53.0    
barcos algarve                                                                                                                                                                                                0       2            0.0%    48.0    
barcos grutas algarve                                                                                                                                                                                         0       1            0.0%    71.0    
barcos vida selvagem algarve                                                                                                                                                                                  0       1            0.0%    72.0    
bateau benagil                                                                                                                                                                                                0       1            0.0%    9.0     
be travel                                                                                                                                                                                                     0       1            0.0%    2.0     
beach tours                                                                                                                                                                                                   0       1            0.0%    55.0    
benagil barco                                                                                                                                                                                                 0       21           0.0%    44.3    
benagil bateau                                                                                                                                                                                                0       1            0.0%    8.0     
benagil boat tour from portimao                                                                                                                                                                               0       24           0.0%    14.3    
benagil boat tours                                                                                                                                                                                            0       61           0.0%    21.0    
benagil boat trip                                                                                                                                                                                             0       39           0.0%    36.2    
benagil boat trip from portimão                                                                                                                                                                               0       30           0.0%    21.1    
benagil bootstour                                                                                                                                                                                             0       3            0.0%    41.0    
benagil cabes                                                                                                                                                                                                 0       1            0.0%    12.0    
benagil cave                                                                                                                                                                                                  0       32           0.0%    4.0     
benagil cave algar de benagil                                                                                                                                                                                 0       2            0.0%    4.5     
benagil cave algarve                                                                                                                                                                                          0       2            0.0%    44.0    
benagil cave boat                                                                                                                                                                                             0       2            0.0%    19.0    
benagil cave boat tour                                                                                                                                                                                        0       25           0.0%    34.8    
benagil cave boat tour from portimao                                                                                                                                                                          0       13           0.0%    10.4    
benagil cave boat tours                                                                                                                                                                                       0       40           0.0%    35.0    
benagil cave boat trip                                                                                                                                                                                        0       3            0.0%    52.3    
benagil cave closed                                                                                                                                                                                           0       14           0.0%    7.8     
benagil cave cruise                                                                                                                                                                                           0       5            0.0%    9.2     
benagil cave from lagos                                                                                                                                                                                       0       1            0.0%    1.0     
benagil cave history algarve                                                                                                                                                                                  0       2            0.0%    76.5    
benagil cave how to get there                                                                                                                                                                                 0       2            0.0%    9.0     
benagil cave safety tips                                                                                                                                                                                      0       1            0.0%    78.0    
benagil cave speedboat tour                                                                                                                                                                                   0       1            0.0%    9.0     
benagil cave storytelling tour                                                                                                                                                                                0       137          0.0%    52.6    
benagil cave sunlight                                                                                                                                                                                         0       1            0.0%    5.0     
benagil cave sunset cruise                                                                                                                                                                                    0       1            0.0%    13.0    
benagil cave sunset tour                                                                                                                                                                                      0       2            0.0%    12.0    
benagil cave tour albufeira                                                                                                                                                                                   0       2            0.0%    53.0    
benagil cave tour from benagil                                                                                                                                                                                0       21           0.0%    25.8    
benagil cave tour from faro                                                                                                                                                                                   0       19           0.0%    20.3    
benagil cave tour from lagos                                                                                                                                                                                  0       5            0.0%    48.6    
benagil cave tour from portimao                                                                                                                                                                               0       116          0.0%    13.4    
benagil cave tour lagos                                                                                                                                                                                       0       3            0.0%    46.3    
benagil cave tour portugal                                                                                                                                                                                    0       1            0.0%    6.0     
benagil cave tours from lagos                                                                                                                                                                                 0       5            0.0%    52.6    
benagil cave tours from portimao                                                                                                                                                                              0       7            0.0%    9.4     
benagil cave tours near me                                                                                                                                                                                    0       190          0.0%    58.9    
benagil cave trip                                                                                                                                                                                             0       13           0.0%    35.5    
benagil cave weather                                                                                                                                                                                          0       1            0.0%    9.0     
benagil cave winter                                                                                                                                                                                           0       1            0.0%    11.0    
benagil cave winter tours                                                                                                                                                                                     0       64           0.0%    70.2    
benagil caves                                                                                                                                                                                                 0       30           0.0%    12.0    
benagil caves & coast algarve cave captain                                                                                                                                                                    0       9            0.0%    22.7    
benagil caves boat tour                                                                                                                                                                                       0       27           0.0%    32.1    
benagil caves boat trip                                                                                                                                                                                       0       22           0.0%    41.0    
benagil caves from portimao                                                                                                                                                                                   0       1            0.0%    9.0     
benagil caves in algarve portugal                                                                                                                                                                             0       1            0.0%    70.0    
benagil caves portimao                                                                                                                                                                                        0       9            0.0%    10.7    
benagil caves portugal                                                                                                                                                                                        0       4            0.0%    26.8    
benagil caves portugal map                                                                                                                                                                                    0       1            0.0%    4.0     
benagil caves portugal tour                                                                                                                                                                                   0       1            0.0%    10.0    
benagil caves speed boat tour                                                                                                                                                                                 0       3            0.0%    7.3     
benagil caves sunset boat tour                                                                                                                                                                                0       4            0.0%    10.5    
benagil caves tickets                                                                                                                                                                                         0       1            0.0%    9.0     
benagil caves tour                                                                                                                                                                                            0       35           0.0%    19.3    
benagil caves tour from portimao                                                                                                                                                                              0       17           0.0%    11.4    
benagil caves tour from portimão                                                                                                                                                                              0       2            0.0%    7.0     
benagil caves tours                                                                                                                                                                                           0       28           0.0%    26.5    
benagil caves trip                                                                                                                                                                                            0       34           0.0%    47.1    
benagil como llegar                                                                                                                                                                                           0       3            0.0%    7.7     
benagil cruise                                                                                                                                                                                                0       69           0.0%    19.0    
benagil cruise from portimão                                                                                                                                                                                  0       17           0.0%    12.5    
benagil cuevas                                                                                                                                                                                                0       2            0.0%    6.0     
benagil grottes & côtes algarve cave captain                                                                                                                                                                  0       3            0.0%    20.0    
benagil höhle tour                                                                                                                                                                                            0       1            0.0%    66.0    
benagil küstenlinie & sonnenuntergang algarve cave captain                                                                                                                                                    0       6            0.0%    18.0    
benagil passeio de barco                                                                                                                                                                                      0       15           0.0%    38.3    
benagil playa                                                                                                                                                                                                 0       1            0.0%    10.0    
benagil portimao                                                                                                                                                                                              0       6            0.0%    7.3     
benagil portugal maps                                                                                                                                                                                         0       1            0.0%    1.0     
benagil promenade privée avec le capitaine algarve cave captain                                                                                                                                               0       1            0.0%    25.0    
benagil pueblo                                                                                                                                                                                                0       1            0.0%    12.0    
benagil sailing cruise from portimão                                                                                                                                                                          0       17           0.0%    8.5     
benagil sailing trip                                                                                                                                                                                          0       15           0.0%    22.7    
benagil sea cave                                                                                                                                                                                              0       30           0.0%    14.2    
benagil sea cave algarve portugal                                                                                                                                                                             0       2            0.0%    84.0    
benagil sea cave portugal                                                                                                                                                                                     0       5            0.0%    60.2    
benagil sea cave skylight algarve                                                                                                                                                                             0       1            0.0%    12.0    
benagil sea cave tour                                                                                                                                                                                         0       101          0.0%    15.7    
benagil sea cave tour portimão                                                                                                                                                                                0       19           0.0%    21.6    
benagil sea caves                                                                                                                                                                                             0       6            0.0%    12.3    
benagil sea caves portugal                                                                                                                                                                                    0       1            0.0%    48.0    
benagil sup tour availability                                                                                                                                                                                 0       2            0.0%    72.5    
benagil tour                                                                                                                                                                                                  0       39           0.0%    26.1    
benagil tours                                                                                                                                                                                                 0       28           0.0%    23.7    
benagil tours from carvoeiro                                                                                                                                                                                  0       27           0.0%    80.2    
benagil tours from lagoa                                                                                                                                                                                      0       26           0.0%    66.1    
benagil tours from portimão                                                                                                                                                                                   0       186          0.0%    40.5    
benagil village                                                                                                                                                                                               0       5            0.0%    10.0    
benagli caves                                                                                                                                                                                                 0       1            0.0%    1.0     
bengali boat tour                                                                                                                                                                                             0       2            0.0%    11.0    
bengali cave tour                                                                                                                                                                                             0       1            0.0%    10.0    
bengali cave tours                                                                                                                                                                                            0       3            0.0%    13.0    
benigil cave                                                                                                                                                                                                  0       2            0.0%    1.0     
best access benagil cave                                                                                                                                                                                      0       1            0.0%    84.0    
best algarve tours                                                                                                                                                                                            0       3            0.0%    13.0    
best excursions near me                                                                                                                                                                                       0       1            0.0%    2.0     
best hiking tour for the seven hanging valleys trail with transport from albufeira                                                                                                                            0       1            0.0%    10.0    
best portugal tours for seniors                                                                                                                                                                               0       1            0.0%    10.0    
best rated benagil sup tour                                                                                                                                                                                   0       1            0.0%    80.0    
best things to do for toddlers near me                                                                                                                                                                        0       1            0.0%    5.0     
best time of day to visit benagil caves                                                                                                                                                                       0       7            0.0%    6.6     
best time to see dolphins in albufeira                                                                                                                                                                        0       2            0.0%    5.5     
best tour                                                                                                                                                                                                     0       1            0.0%    5.0     
best tour companies                                                                                                                                                                                           0       37           0.0%    26.7    
best tour operators in portugal                                                                                                                                                                               0       1            0.0%    2.0     
best transfers                                                                                                                                                                                                0       1            0.0%    13.0    
best travel                                                                                                                                                                                                   0       14           0.0%    4.7     
best travel tours                                                                                                                                                                                             0       2            0.0%    26.0    
bike and barge tours portugal                                                                                                                                                                                 0       1            0.0%    96.0    
blue ocean trips                                                                                                                                                                                              0       1            0.0%    47.0    
boat cave tours near me                                                                                                                                                                                       0       1            0.0%    11.0    
boat party portimao                                                                                                                                                                                           0       1            0.0%    18.0    
boat ride near me                                                                                                                                                                                             0       1            0.0%    6.0     
boat rides near me                                                                                                                                                                                            0       1            0.0%    7.0     
boat tour                                                                                                                                                                                                     0       5            0.0%    21.8    
boat tour agency                                                                                                                                                                                              0       9            0.0%    8.8     
boat tour algarve portugal                                                                                                                                                                                    0       4            0.0%    9.2     
boat tour benagil cave                                                                                                                                                                                        0       9            0.0%    30.2    
boat tour benagil caves                                                                                                                                                                                       0       2            0.0%    60.5    
boat tour near me                                                                                                                                                                                             0       16           0.0%    13.8    
boat tour to benagil cave                                                                                                                                                                                     0       8            0.0%    45.0    
boat tours                                                                                                                                                                                                    0       5            0.0%    23.2    
boat tours algarve                                                                                                                                                                                            0       35           0.0%    25.9    
boat tours algarve caves                                                                                                                                                                                      0       1            0.0%    39.0    
