=== Top query — sc-domain:atlantistours.pt  2025-11-16 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
"salaam cave" walk-in                                                                                                                                                                                         0       2            0.0%    2.5     
"storytlr" travel                                                                                                                                                                                             0       1            0.0%    2.0     
-site:facebook.com -site:fb.me -site:youtube.com -site:youtu.be -site:youtube.be -site:twitter.com -site:instagram.com -site:tiktok.com -sit                                                                  0       10           0.0%    21.0    
1-1.5 hours                                                                                                                                                                                                   0       1            0.0%    10.0    
20 days                                                                                                                                                                                                       0       1            0.0%    53.0    
4 tours                                                                                                                                                                                                       0       1            0.0%    3.0     
aatlantis                                                                                                                                                                                                     0       1            0.0%    10.0    
ac. porto comercial de portimão, portimão, 8500-512                                                                                                                                                           0       4            0.0%    4.5     
accessible benagil tours                                                                                                                                                                                      0       101          0.0%    49.7    
aclantis                                                                                                                                                                                                      0       5            0.0%    13.4    
actividades en portimao                                                                                                                                                                                       0       6            0.0%    8.0     
activiteiten algarve                                                                                                                                                                                          0       1            0.0%    4.0     
activities for kids near me                                                                                                                                                                                   0       2            0.0%    2.5     
activities portimao                                                                                                                                                                                           0       1            0.0%    1.0     
activités algarve portugal                                                                                                                                                                                    0       1            0.0%    3.0     
activités autour de moi                                                                                                                                                                                       0       2            0.0%    4.5     
adventure boat tours                                                                                                                                                                                          0       2            0.0%    10.5    
agence de voyage algarve                                                                                                                                                                                      0       1            0.0%    3.0     
agencia algarve                                                                                                                                                                                               0       1            0.0%    2.0     
agencia atlantis                                                                                                                                                                                              0       1            0.0%    1.0     
agencia tours                                                                                                                                                                                                 0       1            0.0%    1.0     
agencia viagens portimao                                                                                                                                                                                      0       15           0.0%    3.8     
agencias de viagens portimão                                                                                                                                                                                  0       1            0.0%    1.0     
agência de viagens                                                                                                                                                                                            0       3            0.0%    6.3     
agência de viagens portimão                                                                                                                                                                                   0       32           0.0%    3.7     
agência travel                                                                                                                                                                                                0       1            0.0%    2.0     
agência turismo                                                                                                                                                                                               0       1            0.0%    2.0     
aktivitäten in der nähe                                                                                                                                                                                       0       4            0.0%    2.2     
alantis                                                                                                                                                                                                       0       1            0.0%    2.0     
albufeira                                                                                                                                                                                                     0       8            0.0%    1.6     
albufeira boottocht                                                                                                                                                                                           0       1            0.0%    51.0    
albufeira dolphin watching                                                                                                                                                                                    0       1            0.0%    5.0     
albufeira old town photos                                                                                                                                                                                     0       1            0.0%    1.0     
albufeira tours excursions                                                                                                                                                                                    0       2            0.0%    44.0    
algar de benagil                                                                                                                                                                                              0       4            0.0%    6.2     
algar de benagil skylight                                                                                                                                                                                     0       1            0.0%    4.0     
algarve                                                                                                                                                                                                       0       5            0.0%    2.4     
algarve (portugal)                                                                                                                                                                                            0       1            0.0%    6.0     
algarve barco                                                                                                                                                                                                 0       3            0.0%    55.3    
algarve beauties                                                                                                                                                                                              0       1            0.0%    46.0    
algarve benagil caves                                                                                                                                                                                         0       1            0.0%    49.0    
algarve boat                                                                                                                                                                                                  0       14           0.0%    36.7    
algarve boat caves                                                                                                                                                                                            0       1            0.0%    12.0    
algarve boat rental                                                                                                                                                                                           0       1            0.0%    2.0     
algarve boat rides                                                                                                                                                                                            0       11           0.0%    24.3    
algarve boat tour                                                                                                                                                                                             0       33           0.0%    33.3    
algarve boat tours                                                                                                                                                                                            0       56           0.0%    37.9    
algarve boat tours caves                                                                                                                                                                                      0       6            0.0%    13.0    
algarve boat trip                                                                                                                                                                                             0       12           0.0%    46.5    
algarve boat trips                                                                                                                                                                                            0       66           0.0%    44.8    
algarve bootstour                                                                                                                                                                                             0       40           0.0%    23.0    
algarve cave                                                                                                                                                                                                  0       4            0.0%    70.2    
algarve cave boat tour                                                                                                                                                                                        0       3            0.0%    56.7    
algarve cave captain                                                                                                                                                                                          0       10           0.0%    40.0    
algarve cave tour                                                                                                                                                                                             0       3            0.0%    38.0    
algarve cave tours                                                                                                                                                                                            0       44           0.0%    23.0    
algarve caves                                                                                                                                                                                                 0       73           0.0%    37.3    
algarve caves boat tour                                                                                                                                                                                       0       6            0.0%    37.5    
algarve caves portugal                                                                                                                                                                                        0       16           0.0%    41.6    
algarve charter                                                                                                                                                                                               0       3            0.0%    65.0    
algarve charters                                                                                                                                                                                              0       44           0.0%    71.1    
algarve coast                                                                                                                                                                                                 0       1            0.0%    13.0    
algarve cruise                                                                                                                                                                                                0       2            0.0%    40.5    
algarve cruises                                                                                                                                                                                               0       17           0.0%    27.3    
algarve delfines                                                                                                                                                                                              0       4            0.0%    18.8    
algarve discovery benagil caves                                                                                                                                                                               0       1            0.0%    9.0     
algarve dolphin watching                                                                                                                                                                                      0       1            0.0%    8.0     
algarve em abril                                                                                                                                                                                              0       2            0.0%    4.0     
algarve en avril                                                                                                                                                                                              0       22           0.0%    9.2     
algarve en juin                                                                                                                                                                                               0       1            0.0%    8.0     
algarve en junio                                                                                                                                                                                              0       1            0.0%    8.0     
algarve en mai                                                                                                                                                                                                0       1            0.0%    11.0    
algarve erlebnisreise                                                                                                                                                                                         0       1            0.0%    21.0    
algarve erlebnisreisen                                                                                                                                                                                        0       1            0.0%    14.0    
algarve excursiones                                                                                                                                                                                           0       59           0.0%    16.5    
algarve excursions                                                                                                                                                                                            0       66           0.0%    29.9    
algarve fishing                                                                                                                                                                                               0       2            0.0%    40.5    
algarve fishing boats                                                                                                                                                                                         0       1            0.0%    12.0    
algarve getyourguide                                                                                                                                                                                          0       1            0.0%    13.0    
algarve grotto trips                                                                                                                                                                                          0       2            0.0%    43.0    
algarve juin                                                                                                                                                                                                  0       1            0.0%    12.0    
algarve luxury experience                                                                                                                                                                                     0       2            0.0%    39.0    
algarve paragliding                                                                                                                                                                                           0       1            0.0%    2.0     
algarve pesca                                                                                                                                                                                                 0       2            0.0%    38.0    
algarve portugal boat tours                                                                                                                                                                                   0       2            0.0%    40.0    
algarve portugal boat trips                                                                                                                                                                                   0       34           0.0%    41.7    
algarve portugal cave                                                                                                                                                                                         0       1            0.0%    86.0    
algarve portugal excursions                                                                                                                                                                                   0       1            0.0%    9.0     
algarve portugal honeymoon                                                                                                                                                                                    0       1            0.0%    11.0    
algarve portugal tours                                                                                                                                                                                        0       5            0.0%    17.4    
algarve primavera                                                                                                                                                                                             0       1            0.0%    1.0     
algarve private tours                                                                                                                                                                                         0       93           0.0%    13.0    
algarve sailing                                                                                                                                                                                               0       36           0.0%    77.7    
algarve sailing trips                                                                                                                                                                                         0       1            0.0%    7.0     
algarve sea adventures                                                                                                                                                                                        0       3            0.0%    13.7    
algarve sea caves                                                                                                                                                                                             0       3            0.0%    39.3    
algarve sea caves boat tour                                                                                                                                                                                   0       1            0.0%    11.0    
algarve sea sights                                                                                                                                                                                            0       14           0.0%    13.8    
algarve seafaris                                                                                                                                                                                              0       4            0.0%    46.8    
algarve spring                                                                                                                                                                                                0       2            0.0%    6.0     
algarve sunboat                                                                                                                                                                                               0       1            0.0%    33.0    
algarve sunset boat tour                                                                                                                                                                                      0       3            0.0%    28.7    
algarve sunset cruise                                                                                                                                                                                         0       13           0.0%    14.6    
algarve tour from lisbon                                                                                                                                                                                      0       1            0.0%    13.0    
algarve tour guide                                                                                                                                                                                            0       1            0.0%    14.0    
algarve tour operator                                                                                                                                                                                         0       9            0.0%    13.2    
algarve touren                                                                                                                                                                                                0       28           0.0%    17.2    
algarve trip                                                                                                                                                                                                  0       1            0.0%    9.0     
algarve trips                                                                                                                                                                                                 0       2            0.0%    51.0    
algarve weather in october                                                                                                                                                                                    0       1            0.0%    3.0     
algarve whale watching                                                                                                                                                                                        0       1            0.0%    2.0     
algarvecon                                                                                                                                                                                                    0       1            0.0%    32.0    
algrave                                                                                                                                                                                                       0       1            0.0%    8.0     
almancil                                                                                                                                                                                                      0       1            0.0%    1.0     
alquiler barco portimao                                                                                                                                                                                       0       25           0.0%    10.5    
altantis                                                                                                                                                                                                      0       6            0.0%    25.7    
altlantis                                                                                                                                                                                                     0       1            0.0%    2.0     
alvor                                                                                                                                                                                                         0       1            0.0%    1.0     
alvor beach map                                                                                                                                                                                               0       1            0.0%    1.0     
alvor boat trips                                                                                                                                                                                              0       29           0.0%    38.6    
alvor caves                                                                                                                                                                                                   0       23           0.0%    11.1    
alvor excursion dans les grottes marines de benagil seafaris                                                                                                                                                  0       1            0.0%    31.0    
alvor nature reserve                                                                                                                                                                                          0       18           0.0%    10.1    
antlantis                                                                                                                                                                                                     0       2            0.0%    11.5    
antlantis cruise                                                                                                                                                                                              0       1            0.0%    7.0     
aquatic tours                                                                                                                                                                                                 0       2            0.0%    39.0    
arade dam                                                                                                                                                                                                     0       8            0.0%    68.5    
arade portugal                                                                                                                                                                                                0       1            0.0%    11.0    
arade river algarve                                                                                                                                                                                           0       1            0.0%    11.0    
arade river portimão                                                                                                                                                                                         0       1            0.0%    12.0    
arctic seagull benagil trips                                                                                                                                                                                  0       26           0.0%    34.8    
arda                                                                                                                                                                                                          0       1            0.0%    3.0     
are you more likely to see dolphins in the morning or afternoon                                                                                                                                               0       1            0.0%    3.0     
arlantis                                                                                                                                                                                                      0       1            0.0%    5.0     
atalantis                                                                                                                                                                                                     0       4            0.0%    21.2    
atalntis                                                                                                                                                                                                      0       7            0.0%    17.0    
atantis                                                                                                                                                                                                       0       3            0.0%    20.3    
atantlis                                                                                                                                                                                                      0       1            0.0%    6.0     
ate excursiones                                                                                                                                                                                               0       1            0.0%    22.0    
atelantis                                                                                                                                                                                                     0       1            0.0%    3.0     
atkantis                                                                                                                                                                                                      0       1            0.0%    13.0    
atlandtis                                                                                                                                                                                                     0       3            0.0%    24.3    
atlanis                                                                                                                                                                                                       0       1            0.0%    1.0     
atlansis                                                                                                                                                                                                      0       1            0.0%    7.0     
atlante tours                                                                                                                                                                                                 0       1            0.0%    2.0     
atlantes tours                                                                                                                                                                                                0       2            0.0%    6.0     
atlanthis                                                                                                                                                                                                     0       1            0.0%    3.0     
atlanti                                                                                                                                                                                                       0       3            0.0%    15.0    
atlantic                                                                                                                                                                                                      0       3            0.0%    4.3     
atlantic adventures                                                                                                                                                                                           0       2            0.0%    6.0     
atlantic coast tours                                                                                                                                                                                          0       7            0.0%    1.6     
atlantic discovery                                                                                                                                                                                            0       4            0.0%    7.5     
atlantic experience                                                                                                                                                                                           0       1            0.0%    3.0     
atlantic pizza                                                                                                                                                                                                0       1            0.0%    7.0     
atlantic restaurant                                                                                                                                                                                           0       1            0.0%    1.0     
atlantic tours and travel reviews                                                                                                                                                                             0       1            0.0%    3.0     
atlantic travel                                                                                                                                                                                               0       1            0.0%    1.0     
atlantic travel agency                                                                                                                                                                                        0       1            0.0%    8.0     
atlantic trip                                                                                                                                                                                                 0       10           0.0%    9.2     
atlantic trips                                                                                                                                                                                                0       2            0.0%    6.5     
atlantic turs                                                                                                                                                                                                 0       6            0.0%    40.7    
atlantica tour                                                                                                                                                                                                0       1            0.0%    2.0     
atlantico tour                                                                                                                                                                                                0       2            0.0%    5.0     
atlanties                                                                                                                                                                                                     0       1            0.0%    10.0    
atlantik turs                                                                                                                                                                                                 0       4            0.0%    10.2    
atlantis adventure                                                                                                                                                                                            0       4            0.0%    8.2     
atlantis adventures                                                                                                                                                                                           0       2            0.0%    30.0    
atlantis agencia                                                                                                                                                                                              0       1            0.0%    8.0     
atlantis agency                                                                                                                                                                                               0       1            0.0%    1.0     
atlantis atlantis                                                                                                                                                                                             0       3            0.0%    21.7    
atlantis barco                                                                                                                                                                                                0       1            0.0%    3.0     
atlantis boat                                                                                                                                                                                                 0       17           0.0%    54.1    
atlantis boats                                                                                                                                                                                                0       2            0.0%    44.5    
atlantis booking                                                                                                                                                                                              0       1            0.0%    12.0    
atlantis cactus park                                                                                                                                                                                          0       2            0.0%    19.0    
atlantis cancel                                                                                                                                                                                               0       3            0.0%    7.3     
atlantis cancellation policy                                                                                                                                                                                  0       1            0.0%    12.0    
atlantis cave                                                                                                                                                                                                 0       22           0.0%    5.7     
atlantis charters                                                                                                                                                                                             0       2            0.0%    51.0    
atlantis cruise                                                                                                                                                                                               0       18           0.0%    15.9    
atlantis cruise excursion                                                                                                                                                                                     0       1            0.0%    55.0    
atlantis cruises                                                                                                                                                                                              0       4            0.0%    6.2     
atlantis devolução                                                                                                                                                                                            0       1            0.0%    9.0     
atlantis donde esta                                                                                                                                                                                           0       1            0.0%    12.0    
atlantis empresa                                                                                                                                                                                              0       1            0.0%    2.0     
atlantis excursions                                                                                                                                                                                           0       13           0.0%    33.9    
atlantis experience                                                                                                                                                                                           0       2            0.0%    2.0     
atlantis ferry                                                                                                                                                                                                0       2            0.0%    5.0     
atlantis fishing                                                                                                                                                                                              0       6            0.0%    26.3    
atlantis horario                                                                                                                                                                                              0       6            0.0%    9.7     
atlantis horarios                                                                                                                                                                                             0       1            0.0%    12.0    
atlantis in portugal                                                                                                                                                                                          0       27           0.0%    14.6    
atlantis lagos                                                                                                                                                                                                0       2            0.0%    7.5     
atlantis location                                                                                                                                                                                             0       12           0.0%    4.4     
atlantis menu                                                                                                                                                                                                 0       1            0.0%    6.0     
atlantis near me                                                                                                                                                                                              0       10           0.0%    54.4    
atlantis ouverture                                                                                                                                                                                            0       1            0.0%    17.0    
atlantis park                                                                                                                                                                                                 0       4            0.0%    31.0    
atlantis places                                                                                                                                                                                               0       1            0.0%    3.0     
atlantis port                                                                                                                                                                                                 0       3            0.0%    11.0    
atlantis pt                                                                                                                                                                                                   0       11           0.0%    9.5     
atlantis reisen                                                                                                                                                                                               0       3            0.0%    5.7     
atlantis resort excursions                                                                                                                                                                                    0       1            0.0%    89.0    
atlantis reviews                                                                                                                                                                                              0       5            0.0%    19.8    
atlantis route                                                                                                                                                                                                0       1            0.0%    7.0     
atlantis sailing                                                                                                                                                                                              0       2            0.0%    4.0     
atlantis seguro hogar                                                                                                                                                                                         0       1            0.0%    7.0     
atlantis spa                                                                                                                                                                                                  0       1            0.0%    22.0    
atlantis speedboat adventure                                                                                                                                                                                  0       2            0.0%    7.5     
atlantis telefono                                                                                                                                                                                             0       6            0.0%    10.5    
atlantis tours and travels                                                                                                                                                                                    0       3            0.0%    5.7     
atlantis tours israel                                                                                                                                                                                         0       1            0.0%    3.0     
atlantis tours mauritius                                                                                                                                                                                      0       1            0.0%    37.0    
atlantis trappes 2 rue eugene pottier                                                                                                                                                                         0       1            0.0%    8.0     
atlantis travel                                                                                                                                                                                               0       57           0.0%    6.8     
atlantis travel agency                                                                                                                                                                                        0       24           0.0%    9.5     
atlantis trip                                                                                                                                                                                                 0       1            0.0%    7.0     
atlantis viagens                                                                                                                                                                                              0       1            0.0%    2.0     
atlantis viagens e turismo                                                                                                                                                                                    0       1            0.0%    1.0     
atlantis vilamoura                                                                                                                                                                                            0       1            0.0%    3.0     
atlantis voyages                                                                                                                                                                                              0       2            0.0%    24.5    
atlantis water fun                                                                                                                                                                                            0       11           0.0%    54.5    
atlantis website                                                                                                                                                                                              0       2            0.0%    2.0     
atlantis where is it located                                                                                                                                                                                  0       1            0.0%    22.0    
atlantis yacht                                                                                                                                                                                                0       3            0.0%    7.0     
atlantis yatch                                                                                                                                                                                                0       1            0.0%    8.0     
atlantis.com                                                                                                                                                                                                  0       1            0.0%    8.0     
atlantiss                                                                                                                                                                                                     0       7            0.0%    7.9     
atlanttis                                                                                                                                                                                                     0       1            0.0%    4.0     
atlatis                                                                                                                                                                                                       0       5            0.0%    13.2    
atlntis                                                                                                                                                                                                       0       2            0.0%    26.0    
atoantis                                                                                                                                                                                                      0       2            0.0%    20.0    
atrações para crianças                                                                                                                                                                                        0       1            0.0%    2.0     
aurora boat trips                                                                                                                                                                                             0       7            0.0%    65.9    
avis atlantis                                                                                                                                                                                                 0       1            0.0%    7.0     
avis sur grotte de benagil                                                                                                                                                                                    0       1            0.0%    3.0     
avistamiento cetaceos algarve                                                                                                                                                                                 0       42           0.0%    15.6    
avistamiento de delfines en el algarve                                                                                                                                                                        0       3            0.0%    39.3    
avistamiento delfines                                                                                                                                                                                         0       1            0.0%    6.0     
avistamiento delfines algarve                                                                                                                                                                                 0       1            0.0%    8.0     
aylantis                                                                                                                                                                                                      0       1            0.0%    21.0    
baby excursiones                                                                                                                                                                                              0       5            0.0%    20.8    
baby friendly activities near me                                                                                                                                                                              0       1            0.0%    5.0     
banagil caves                                                                                                                                                                                                 0       1            0.0%    4.0     
barco algarve                                                                                                                                                                                                 0       1            0.0%    7.0     
barco atlantis                                                                                                                                                                                                0       3            0.0%    4.3     
barco benagil                                                                                                                                                                                                 0       15           0.0%    40.4    
barco grutas benagil                                                                                                                                                                                          0       123          0.0%    37.2    
barco para benagil                                                                                                                                                                                            0       112          0.0%    53.6    
barco portimao                                                                                                                                                                                                0       2            0.0%    6.0     
barcoeste                                                                                                                                                                                                     0       1            0.0%    53.0    
barcos algarve                                                                                                                                                                                                0       4            0.0%    45.5    
barcos grutas algarve                                                                                                                                                                                         0       1            0.0%    71.0    
barcos vida selvagem algarve                                                                                                                                                                                  0       1            0.0%    72.0    
barragem de silves                                                                                                                                                                                            0       1            0.0%    86.0    
barragem do arade silves                                                                                                                                                                                      0       2            0.0%    67.5    
bateau benagil                                                                                                                                                                                                0       1            0.0%    9.0     
be travel                                                                                                                                                                                                     0       1            0.0%    2.0     
beach tours                                                                                                                                                                                                   0       1            0.0%    55.0    
benagil barco                                                                                                                                                                                                 0       113          0.0%    51.2    
benagil bateau                                                                                                                                                                                                0       1            0.0%    8.0     
benagil boat tour from portimao                                                                                                                                                                               0       27           0.0%    14.6    
benagil boat tours                                                                                                                                                                                            0       61           0.0%    21.0    
benagil boat trip                                                                                                                                                                                             0       39           0.0%    36.2    
benagil boat trip from portimão                                                                                                                                                                               0       31           0.0%    21.3    
benagil bootstour                                                                                                                                                                                             0       3            0.0%    41.0    
benagil cabes                                                                                                                                                                                                 0       1            0.0%    12.0    
benagil cave                                                                                                                                                                                                  0       32           0.0%    4.0     
benagil cave algar de benagil                                                                                                                                                                                 0       2            0.0%    4.5     
benagil cave algarve                                                                                                                                                                                          0       2            0.0%    44.0    
benagil cave boat                                                                                                                                                                                             0       4            0.0%    34.2    
benagil cave boat tour                                                                                                                                                                                        0       25           0.0%    34.8    
benagil cave boat tour from portimao                                                                                                                                                                          0       13           0.0%    10.4    
benagil cave boat tours                                                                                                                                                                                       0       155          0.0%    46.0    
benagil cave boat trip                                                                                                                                                                                        0       4            0.0%    39.5    
benagil cave closed                                                                                                                                                                                           0       14           0.0%    7.8     
benagil cave cruise                                                                                                                                                                                           0       5            0.0%    9.2     
benagil cave from lagos                                                                                                                                                                                       0       1            0.0%    1.0     
benagil cave history algarve                                                                                                                                                                                  0       2            0.0%    76.5    
benagil cave how to get there                                                                                                                                                                                 0       2            0.0%    9.0     
benagil cave in algarve portugal                                                                                                                                                                              0       1            0.0%    92.0    
benagil cave safety tips                                                                                                                                                                                      0       1            0.0%    78.0    
benagil cave speedboat tour                                                                                                                                                                                   0       1            0.0%    9.0     
benagil cave storytelling tour                                                                                                                                                                                0       205          0.0%    61.8    
benagil cave sunlight                                                                                                                                                                                         0       1            0.0%    5.0     
benagil cave sunset cruise                                                                                                                                                                                    0       1            0.0%    13.0    
benagil cave sunset tour                                                                                                                                                                                      0       2            0.0%    12.0    
benagil cave tour albufeira                                                                                                                                                                                   0       2            0.0%    53.0    
benagil cave tour from benagil                                                                                                                                                                                0       32           0.0%    37.8    
benagil cave tour from faro                                                                                                                                                                                   0       26           0.0%    20.2    
benagil cave tour from lagos                                                                                                                                                                                  0       6            0.0%    52.2    
benagil cave tour from portimao                                                                                                                                                                               0       147          0.0%    16.0    
benagil cave tour lagos                                                                                                                                                                                       0       3            0.0%    46.3    
benagil cave tour portugal                                                                                                                                                                                    0       2            0.0%    26.5    
benagil cave tours from lagos                                                                                                                                                                                 0       6            0.0%    54.0    
benagil cave tours from portimao                                                                                                                                                                              0       7            0.0%    9.4     
benagil cave tours near me                                                                                                                                                                                    0       209          0.0%    60.2    
benagil cave trip                                                                                                                                                                                             0       23           0.0%    44.1    
benagil cave weather                                                                                                                                                                                          0       1            0.0%    9.0     
benagil cave winter                                                                                                                                                                                           0       1            0.0%    11.0    
benagil cave winter tours                                                                                                                                                                                     0       64           0.0%    70.2    
benagil caves                                                                                                                                                                                                 0       31           0.0%    14.2    
benagil caves & coast algarve cave captain                                                                                                                                                                    0       13           0.0%    40.7    
benagil caves boat tour                                                                                                                                                                                       0       27           0.0%    32.1    
benagil caves boat trip                                                                                                                                                                                       0       23           0.0%    41.3    
benagil caves from portimao                                                                                                                                                                                   0       1            0.0%    9.0     
benagil caves in algarve portugal                                                                                                                                                                             0       1            0.0%    70.0    
benagil caves latest                                                                                                                                                                                          0       7            0.0%    19.6    
benagil caves portimao                                                                                                                                                                                        0       9            0.0%    10.7    
benagil caves portugal                                                                                                                                                                                        0       4            0.0%    26.8    
benagil caves portugal map                                                                                                                                                                                    0       1            0.0%    4.0     
benagil caves portugal tour                                                                                                                                                                                   0       1            0.0%    10.0    
benagil caves speed boat tour                                                                                                                                                                                 0       3            0.0%    7.3     
benagil caves sunset boat tour                                                                                                                                                                                0       4            0.0%    10.5    
benagil caves tickets                                                                                                                                                                                         0       1            0.0%    9.0     
benagil caves tour                                                                                                                                                                                            0       37           0.0%    19.6    
benagil caves tour from portimao                                                                                                                                                                              0       22           0.0%    21.0    
benagil caves tour from portimão                                                                                                                                                                              0       2            0.0%    7.0     
benagil caves tours                                                                                                                                                                                           0       30           0.0%    26.6    
benagil caves tours algarve                                                                                                                                                                                   0       9            0.0%    62.1    
benagil caves trip                                                                                                                                                                                            0       128          0.0%    54.7    
