=== Top page — sc-domain:atlantistours.pt  2026-02-15 → 2026-05-15 (final data) ===

page                                                                                     clicks  impressions  ctr    position
https://www.atlantistours.pt/pt/contact                                                  2       48           4.2%   5.0     
https://www.atlantistours.pt/pt/tours/                                                   2       651          0.3%   6.5     
https://www.atlantistours.pt/?_locale=en                                                 1       13           7.7%   1.2     
https://www.atlantistours.pt/en/about/                                                   1       515          0.2%   3.7     
https://www.atlantistours.pt/en/blog/                                                    1       4            25.0%  5.8     
https://www.atlantistours.pt/en/blog/benagil-vs-other-sea-caves-algarve/                 1       52           1.9%   16.6    
https://www.atlantistours.pt/en/blog/marine-life-algarve-coast-spotters-guide/           1       99           1.0%   15.2    
https://www.atlantistours.pt/en/blog/portuguese-coastal-cuisine-algarve/                 1       199          0.5%   9.3     
https://www.atlantistours.pt/en/blog/sunset-cruises-algarve-summer-guide/                1       118          0.8%   7.7     
https://www.atlantistours.pt/en/blog/tag/yacht/                                          1       5            20.0%  8.4     
https://www.atlantistours.pt/en/blog/what-to-pack-algarve-boat-tour/                     1       62           1.6%   6.1     
https://www.atlantistours.pt/en/faq/                                                     1       27           3.7%   4.2     
https://www.atlantistours.pt/en/tours/benagil-alvor                                      1       254          0.4%   7.6     
https://www.atlantistours.pt/en/tours/luxuoso-iate-a-vela-meio-dia/                      1       20           5.0%   5.5     
https://www.atlantistours.pt/en/tours/private-yacht-cruise-to-the-benagil-caves/         1       22           4.5%   9.0     
https://www.atlantistours.pt/es/blog/pesca-de-fondo-portimao-medio-dia/                  1       25           4.0%   7.4     
https://www.atlantistours.pt/es/tours/benagil-and-alvor-nature-reserve/                  1       5            20.0%  6.4     
https://www.atlantistours.pt/fr/blog/meilleure-periode-algarve-sorties-bateau/           1       42           2.4%   7.8     
https://www.atlantistours.pt/fr/reviews/                                                 1       46           2.2%   5.2     
https://www.atlantistours.pt/fr/tours/benagil-caves-speed-boat-tour/                     1       14           7.1%   7.9     
https://www.atlantistours.pt/fr/tours/reef-fishing-tour/                                 1       3            33.3%  5.3     
https://www.atlantistours.pt/pt/blog/o-que-levar-passeio-barco-algarve/                  1       50           2.0%   11.4    
https://www.atlantistours.pt/pt/blog/pesca-de-fundo-algarve-o-que-esperar/               1       74           1.4%   10.5    
https://www.atlantistours.pt/pt/denuncia                                                 1       7            14.3%  5.4     
https://www.atlantistours.pt/pt/faq/                                                     1       18           5.6%   10.2    
https://www.atlantistours.pt/pt/tours/circuito-de-grutas-ate-benagil/                    1       350          0.3%   12.3    
https://www.atlantistours.pt/pt/tours/paradise                                           1       861          0.1%   3.1     
https://www.atlantistours.pt/pt/tours/pesca-de-fundo/                                    1       18           5.6%   9.6     
https://atlantistours.pt/                                                                0       2            0.0%   3.5     
https://atlantistours.pt/en/                                                             0       2            0.0%   27.0    
https://www.atlantistours.pt/#exampleModalToggle                                         0       46           0.0%   4.6     
https://www.atlantistours.pt/?_locale=pt                                                 0       1            0.0%   1.0     
https://www.atlantistours.pt/en/blog/category/destinations/                              0       171          0.0%   9.0     
https://www.atlantistours.pt/en/blog/category/local-culture/                             0       2            0.0%   3.0     
https://www.atlantistours.pt/en/blog/category/seasonal/                                  0       5            0.0%   9.0     
https://www.atlantistours.pt/en/blog/category/travel-tips/                               0       1            0.0%   8.0     
https://www.atlantistours.pt/en/blog/page/2/                                             0       8            0.0%   6.4     
https://www.atlantistours.pt/en/blog/tag/benagil/                                        0       15           0.0%   6.3     
https://www.atlantistours.pt/en/blog/tag/caves/                                          0       9            0.0%   6.7     
https://www.atlantistours.pt/en/blog/tag/dolphins/                                       0       1            0.0%   10.0    
https://www.atlantistours.pt/en/blog/tag/family/                                         0       1            0.0%   10.0    
https://www.atlantistours.pt/en/blog/tag/fishing/                                        0       1            0.0%   12.0    
https://www.atlantistours.pt/en/blog/tag/luxury/                                         0       1            0.0%   4.0     
https://www.atlantistours.pt/en/blog/tag/sailing/                                        0       6            0.0%   7.3     
https://www.atlantistours.pt/en/blog/tag/sunset/                                         0       1            0.0%   6.0     
https://www.atlantistours.pt/en/blog/tag/travel-tips/                                    0       10           0.0%   7.2     
https://www.atlantistours.pt/en/cancellation-policy/                                     0       28           0.0%   6.4     
https://www.atlantistours.pt/en/privacy/                                                 0       12           0.0%   5.9     
https://www.atlantistours.pt/en/tours/benagil-and-alvor-nature-reserve/                  0       24           0.0%   15.8    
https://www.atlantistours.pt/en/tours/benagil-e-reserva-natural-de-alvor/                0       16           0.0%   8.8     
https://www.atlantistours.pt/en/tours/benagil?funnel=cat                                 0       1            0.0%   12.0    
https://www.atlantistours.pt/en/tours/benagil?funnel={funnel}                            0       34           0.0%   1.9     
https://www.atlantistours.pt/en/tours/circuito-de-grutas-ate-benagil/                    0       83           0.0%   6.8     
https://www.atlantistours.pt/en/tours/luxuoso-iate-a-vela/                               0       33           0.0%   4.7     
https://www.atlantistours.pt/en/tours/pesca-de-fundo/                                    0       24           0.0%   4.2     
https://www.atlantistours.pt/en/tours/portimao-paraiso-120-private                       0       29           0.0%   4.9     
https://www.atlantistours.pt/en/tours/portimao-paraiso-60                                0       144          0.0%   2.7     
https://www.atlantistours.pt/en/tours/private-sail-yacht-cruise/                         0       23           0.0%   5.2     
https://www.atlantistours.pt/en/tours/reef-fishing                                       0       78           0.0%   10.3    
https://www.atlantistours.pt/es/about/                                                   0       56           0.0%   9.2     
https://www.atlantistours.pt/es/blog/                                                    0       6            0.0%   12.2    
https://www.atlantistours.pt/es/blog/algarve-en-primavera-secreto-mejor-guardado/        0       54           0.0%   7.7     
https://www.atlantistours.pt/es/blog/category/destinations/                              0       1            0.0%   43.0    
https://www.atlantistours.pt/es/blog/category/travel-tips/                               0       3            0.0%   10.0    
https://www.atlantistours.pt/es/blog/cocina-costera-portuguesa-algarve/                  0       14           0.0%   8.1     
https://www.atlantistours.pt/es/blog/cruceros-atardecer-algarve-guia-verano/             0       4            0.0%   10.2    
https://www.atlantistours.pt/es/blog/mejor-epoca-algarve-tours-barco/                    0       49           0.0%   7.3     
https://www.atlantistours.pt/es/blog/page/2/                                             0       11           0.0%   8.5     
https://www.atlantistours.pt/es/blog/pesca-de-fondo-algarve-que-esperar/                 0       9            0.0%   11.2    
https://www.atlantistours.pt/es/blog/tag/benagil/                                        0       4            0.0%   7.0     
https://www.atlantistours.pt/es/blog/tag/caves/                                          0       3            0.0%   7.3     
https://www.atlantistours.pt/es/blog/tag/family/                                         0       3            0.0%   10.7    
https://www.atlantistours.pt/es/blog/tag/local-culture/                                  0       1            0.0%   9.0     
https://www.atlantistours.pt/es/blog/tag/luxury/                                         0       4            0.0%   8.5     
https://www.atlantistours.pt/es/blog/tag/sailing/                                        0       18           0.0%   10.6    
https://www.atlantistours.pt/es/blog/tag/seasonal/                                       0       4            0.0%   6.2     
https://www.atlantistours.pt/es/blog/tag/sunset/                                         0       2            0.0%   5.5     
https://www.atlantistours.pt/es/blog/tag/travel-tips/                                    0       3            0.0%   11.0    
https://www.atlantistours.pt/es/blog/tag/yacht/                                          0       1            0.0%   6.0     
https://www.atlantistours.pt/es/blog/tradiciones-pesca-costa-algarve/                    0       25           0.0%   6.5     
https://www.atlantistours.pt/es/cancellation-policy/                                     0       15           0.0%   11.3    
https://www.atlantistours.pt/es/contact/                                                 0       38           0.0%   13.9    
https://www.atlantistours.pt/es/privacy/                                                 0       5            0.0%   22.4    
https://www.atlantistours.pt/es/reviews/                                                 0       26           0.0%   5.7     
https://www.atlantistours.pt/es/terms/                                                   0       8            0.0%   16.8    
https://www.atlantistours.pt/es/tours/                                                   0       112          0.0%   5.8     
https://www.atlantistours.pt/es/tours/benagil-caves-speed-boat-tour/                     0       2            0.0%   3.0     
https://www.atlantistours.pt/es/tours/boats/                                             0       13           0.0%   9.7     
https://www.atlantistours.pt/es/tours/cranchi-yacht-cruise-to-the-benagil-caves/         0       2            0.0%   8.5     
https://www.atlantistours.pt/es/tours/luxuoso-iate-a-vela-meio-dia/                      0       1            0.0%   1.0     
https://www.atlantistours.pt/es/tours/luxuoso-iate-a-vela/                               0       3            0.0%   20.0    
https://www.atlantistours.pt/es/tours/luxury-sail-yacht-cruise/                          0       5            0.0%   10.0    
https://www.atlantistours.pt/es/tours/private-sail-yacht-cruise/                         0       4            0.0%   18.5    
https://www.atlantistours.pt/es/tours/private-yacht-cruise-to-the-benagil-caves/         0       1            0.0%   1.0     
https://www.atlantistours.pt/es/tours/reef-fishing-tour/                                 0       10           0.0%   13.3    
https://www.atlantistours.pt/fr/about/                                                   0       92           0.0%   8.5     
https://www.atlantistours.pt/fr/blog/benagil-vs-autres-grottes-marines-algarve/          0       37           0.0%   8.8     
https://www.atlantistours.pt/fr/blog/category/destinations/                              0       31           0.0%   10.4    
https://www.atlantistours.pt/fr/blog/category/local-culture/                             0       5            0.0%   12.2    
https://www.atlantistours.pt/fr/blog/category/marine-life/                               0       5            0.0%   10.6    
https://www.atlantistours.pt/fr/blog/category/travel-tips/                               0       15           0.0%   15.3    
https://www.atlantistours.pt/fr/blog/croisieres-coucher-soleil-algarve-guide-ete/        0       8            0.0%   10.9    
https://www.atlantistours.pt/fr/blog/observation-dauphins-algarve-especes-saisons/       0       121          0.0%   7.0     
https://www.atlantistours.pt/fr/blog/page/2/                                             0       3            0.0%   9.7     
https://www.atlantistours.pt/fr/blog/peche-recif-algarve-quoi-attendre/                  0       31           0.0%   8.9     
https://www.atlantistours.pt/fr/blog/tag/benagil/                                        0       3            0.0%   10.7    
https://www.atlantistours.pt/fr/blog/tag/local-culture/                                  0       1            0.0%   7.0     
https://www.atlantistours.pt/fr/blog/tag/luxury/                                         0       1            0.0%   7.0     
https://www.atlantistours.pt/fr/blog/tag/sailing/                                        0       1            0.0%   38.0    
https://www.atlantistours.pt/fr/blog/tag/seasonal/                                       0       1            0.0%   8.0     
https://www.atlantistours.pt/fr/blog/tag/sunset/                                         0       3            0.0%   7.7     
https://www.atlantistours.pt/fr/blog/tag/yacht/                                          0       2            0.0%   10.5    
https://www.atlantistours.pt/fr/blog/vie-marine-algarve-guide-observation/               0       8            0.0%   7.1     
https://www.atlantistours.pt/fr/cancellation-policy/                                     0       4            0.0%   1.5     
https://www.atlantistours.pt/fr/faq/                                                     0       12           0.0%   8.2     
https://www.atlantistours.pt/fr/privacy/                                                 0       1            0.0%   2.0     
https://www.atlantistours.pt/fr/terms/                                                   0       2            0.0%   10.5    
https://www.atlantistours.pt/fr/tours/benagil-and-alvor-nature-reserve/                  0       3            0.0%   10.0    
https://www.atlantistours.pt/fr/tours/boats/                                             0       12           0.0%   17.0    
https://www.atlantistours.pt/fr/tours/cranchi-yacht-cruise-to-the-benagil-caves/         0       1            0.0%   5.0     
https://www.atlantistours.pt/fr/tours/luxuoso-iate-a-vela/                               0       8            0.0%   6.0     
https://www.atlantistours.pt/fr/tours/luxury-sail-yacht-cruise/                          0       5            0.0%   8.8     
https://www.atlantistours.pt/fr/tours/private-yacht-cruise-to-the-benagil-caves/         0       2            0.0%   9.5     
https://www.atlantistours.pt/pt/blog/                                                    0       5            0.0%   11.0    
https://www.atlantistours.pt/pt/blog/benagil-vs-outras-grutas-marinhas-algarve/          0       70           0.0%   8.5     
https://www.atlantistours.pt/pt/blog/category/destinations/                              0       4            0.0%   31.8    
https://www.atlantistours.pt/pt/blog/category/seasonal/                                  0       1            0.0%   1.0     
https://www.atlantistours.pt/pt/blog/category/travel-tips/                               0       2            0.0%   6.0     
https://www.atlantistours.pt/pt/blog/cozinha-costeira-portuguesa-algarve/                0       66           0.0%   10.4    
https://www.atlantistours.pt/pt/blog/cruzeiros-por-do-sol-algarve-guia-verao/            0       7            0.0%   5.6     
https://www.atlantistours.pt/pt/blog/melhor-altura-visitar-algarve-passeios-de-barco/    0       17           0.0%   7.9     
https://www.atlantistours.pt/pt/blog/observacao-golfinhos-algarve-especies-epocas/       0       44           0.0%   5.0     
https://www.atlantistours.pt/pt/blog/page/2/                                             0       3            0.0%   13.3    
https://www.atlantistours.pt/pt/blog/tag/benagil/                                        0       3            0.0%   19.7    
https://www.atlantistours.pt/pt/blog/tag/luxury/                                         0       2            0.0%   6.5     
https://www.atlantistours.pt/pt/blog/tradicoes-pesca-costa-algarvia/                     0       56           0.0%   6.8     
https://www.atlantistours.pt/pt/blog/vida-marinha-algarve-guia-observacao/               0       8            0.0%   8.2     
https://www.atlantistours.pt/pt/cancellation-policy/                                     0       11           0.0%   5.5     
https://www.atlantistours.pt/pt/privacy/                                                 0       13           0.0%   6.8     
https://www.atlantistours.pt/pt/terms                                                    0       18           0.0%   5.7     
https://www.atlantistours.pt/pt/tours/benagil-alvor                                      0       118          0.0%   10.4    
https://www.atlantistours.pt/pt/tours/benagil-e-reserva-natural-de-alvor/                0       48           0.0%   7.5     
https://www.atlantistours.pt/pt/tours/boats/                                             0       160          0.0%   8.8     
https://www.atlantistours.pt/pt/tours/cranchi-yacht-cruise-ate-as-grutas-de-benagil/     0       11           0.0%   7.5     

rows=200   Σclicks=2498   Σimpressions=62882
